ModbusManager 1.0.9
20200624
Product: SMO40
Database: 8310
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"BT1 Outdoor Temperature";"Current outdoor temperature";40004;"°C";s16;10;0;0;0;R;
"EP23-BT2 Supply temp S4";"Supply temperature for system 4";40005;"°C";s16;10;0;0;0;R;
"EP22-BT2 Supply temp S3";"Supply temperature for system 3";40006;"°C";s16;10;0;0;0;R;
"EP21-BT2 Supply temp S2";"Supply temperature for system 2";40007;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT3 Return temp";"Return temperature";40012;"°C";s16;10;0;0;0;R;
"BT7 HW Top";"Hot water top temperature, BT7";40013;"°C";s16;10;0;0;0;R;
"BT6 HW Load";"Hot water load temperature, BT6";40014;"°C";s16;10;0;0;0;R;
"BT20 Exhaust air temp. 1";"";40025;"°C";s16;10;0;0;0;R;
"BT21 Vented air temp. 1";"";40026;"°C";s16;10;0;0;0;R;
"EP23-BT50 Room Temp S4";"";40030;"°C";s16;10;0;0;0;R;
"EP22-BT50 Room Temp S3";"";40031;"°C";s16;10;0;0;0;R;
"EP21-BT50 Room Temp S2";"";40032;"°C";s16;10;0;0;0;R;
"BT50 Room Temp S1";"";40033;"°C";s16;10;0;0;0;R;
"CL11-BT51 Pool 1 Temp";"Pool temperature for Pool 1, BT51";40042;"°C";s16;10;0;0;0;R;
"BT53 Solar Panel Temp";"Used in Solar and AHPS Docking accessories";40043;"°C";s16;10;0;0;0;R;
"BT54 Solar Load Temp";"Used in Solar and AHPS Docking accessories";40044;"°C";s16;10;0;0;0;R;
"EQ1-BT64 Cool Supply Temp";"Cool supply temperature, BT64";40045;"°C";s16;10;0;0;0;R;
"EB100-FD1 Temperature limiter";"";40054;"";s16;1;0;0;0;R;
"BT1 Average";"EB100-BT1 Outdoor temperature average";40067;"°C";s16;10;0;0;0;R;
"EM1-BT52 Boiler Temperature";"Boiler temperature, BT52";40070;"°C";s16;10;0;0;0;R;
"BT25 Ext. Supply";"External supply temperature, BT25";40071;"°C";s16;10;0;0;0;R;
"BF1 EP14 Flow";"Current flow EP14|Current flow EP15";40072;"l/m";s16;10;0;0;0;R;
"EB100-FR1 Anode Status";"";40074;"";s16;1;0;0;0;R;
"BT22 Supply air temp.";"";40075;"°C";s16;10;0;0;0;R;
"EB100-BE3 Current";"";40079;"A";u32;10;0;0;0;R;
"EB100-BE2 Current";"";40081;"A";u32;10;0;0;0;R;
"EB100-BE1 Current";"";40083;"A";u32;10;0;0;0;R;
"CL12-BT51 Pool 2 Temp";"Pool temperature for Pool 2, BT51";40106;"°C";s16;10;0;0;0;R;
