Title	Register type	Register	Division factor	Unit	Size of variable	Min value	Max value	Default value
Current outdoor temperature (BT1)	MODBUS_INPUT_REGISTER	1	10	°C	2	0	0	0
Supply line (EP23-BT2)	MODBUS_INPUT_REGISTER	2	10	°C	2	0	0	0
Supply line (EP22-BT2)	MODBUS_INPUT_REGISTER	3	10	°C	2	0	0	0
Supply line (EP21-BT2)	MODBUS_INPUT_REGISTER	4	10	°C	2	0	0	0
Supply line (BT2)	MODBUS_INPUT_REGISTER	5	10	°C	2	0	0	0
Return line (BT3)	MODBUS_INPUT_REGISTER	7	10	°C	2	0	0	0
Hot water top (BT7)	MODBUS_INPUT_REGISTER	8	10	°C	2	0	0	0
Hot water charging (BT6)	MODBUS_INPUT_REGISTER	9	10	°C	2	0	0	0
Roomsensor 1-1	MODBUS_INPUT_REGISTER	26	10	°C	2	0	0	0
Temperature limiter (EB100-FD1)	MODBUS_INPUT_REGISTER	36	1		2	0	0	0
Average temperature (BT1)	MODBUS_INPUT_REGISTER	37	10	°C	2	0	0	0
Boiler temperature (BT52)	MODBUS_INPUT_REGISTER	38	10	°C	2	0	0	0
Flow sensor (BF1)	MODBUS_INPUT_REGISTER	40	10	l/m	2	0	0	0
Electrical anode (EB100-FR1)	MODBUS_INPUT_REGISTER	41	1		2	0	0	0
-	MODBUS_INPUT_REGISTER	60	10	°C	2	0	0	0
-	MODBUS_INPUT_REGISTER	61	10	°C	2	0	0	0
-	MODBUS_INPUT_REGISTER	62	10	°C	2	0	0	0
-	MODBUS_INPUT_REGISTER	63	10	°C	2	0	0	0
-	MODBUS_INPUT_REGISTER	64	10	°C	2	0	0	0
-	MODBUS_INPUT_REGISTER	65	10	°C	2	0	0	0
Additional heat (BT63)	MODBUS_INPUT_REGISTER	72	10	°C	2	0	0	0
Return line (EP23-BT3)	MODBUS_INPUT_REGISTER	75	10	°C	2	0	0	0
Return line (EP22-BT3)	MODBUS_INPUT_REGISTER	76	10	°C	2	0	0	0
Return line (EP21-BT3)	MODBUS_INPUT_REGISTER	77	10	°C	2	0	0	0
Return line (EP15-BT3)	MODBUS_INPUT_REGISTER	78	10	°C	2	0	0	0
Outgoing hot water (BT70)	MODBUS_INPUT_REGISTER	87	10	°C	2	0	0	0
Supply line (EP47-BT2)	MODBUS_INPUT_REGISTER	94	10	°C	2	0	0	0
Supply line (EP46-BT2)	MODBUS_INPUT_REGISTER	95	10	°C	2	0	0	0
Supply line (EP45-BT2)	MODBUS_INPUT_REGISTER	96	10	°C	2	0	0	0
Supply line (EP44-BT2)	MODBUS_INPUT_REGISTER	97	10	°C	2	0	0	0
Return line (EP47-BT3)	MODBUS_INPUT_REGISTER	98	10	°C	2	0	0	0
Return line (EP46-BT3)	MODBUS_INPUT_REGISTER	99	10	°C	2	0	0	0
Return line (EP45-BT3)	MODBUS_INPUT_REGISTER	100	10	°C	2	0	0	0
Return line (EP44-BT3)	MODBUS_INPUT_REGISTER	101	10	°C	2	0	0	0
id:149	MODBUS_INPUT_REGISTER	108	10	°C	2	0	0	0
Room average temp. clim. system 8 (BT50)	MODBUS_INPUT_REGISTER	109	10	°C	2	0	0	0
Room average temp. clim. system 7 (BT50)	MODBUS_INPUT_REGISTER	110	10	°C	2	0	0	0
Room average temp. clim. system 6 (BT50)	MODBUS_INPUT_REGISTER	111	10	°C	2	0	0	0
Room average temp. clim. system 5 (BT50)	MODBUS_INPUT_REGISTER	112	10	°C	2	0	0	0
Room average temp. clim. system 4 (BT50)	MODBUS_INPUT_REGISTER	113	10	°C	2	0	0	0
Room average temp. clim. system 3 (BT50)	MODBUS_INPUT_REGISTER	114	10	°C	2	0	0	0
Room average temp. clim. system 2 (BT50)	MODBUS_INPUT_REGISTER	115	10	°C	2	0	0	0
Room average temp. clim. system 1 (BT50)	MODBUS_INPUT_REGISTER	116	10	°C	2	0	0	0
External cooling supply temperature (BT25)	MODBUS_INPUT_REGISTER	119	10	°C	2	0	0	0
id:193	MODBUS_INPUT_REGISTER	128	1		4	0	0	0
Oper. mode shunt climate system 8	MODBUS_INPUT_REGISTER	129	1		4	0	0	0
Oper. mode shunt climate system 7	MODBUS_INPUT_REGISTER	130	1		4	0	0	0
Oper. mode shunt climate system 6	MODBUS_INPUT_REGISTER	131	1		4	0	0	0
Oper. mode shunt climate system 5	MODBUS_INPUT_REGISTER	132	1		4	0	0	0
id:246	MODBUS_INPUT_REGISTER	133	1		4	0	0	0
Relay status (ERS 1)	MODBUS_INPUT_REGISTER	134	1		4	0	0	0
Fan speed (AZ30-GQ2)	MODBUS_INPUT_REGISTER	135	1	%	4	0	0	0
Fan speed (AZ30-GQ3)	MODBUS_INPUT_REGISTER	136	1	%	4	0	0	0
Current hot water mode controlled by	MODBUS_INPUT_REGISTER	137	1		1	0	0	0
Max. compressor frequency, heating	MODBUS_INPUT_REGISTER	141	100	Hz	5	0	0	0
External adjustment climate system 8	MODBUS_INPUT_REGISTER	151	1		4	0	0	0
External adjustment climate system 7	MODBUS_INPUT_REGISTER	152	1		4	0	0	0
External adjustment climate system 6	MODBUS_INPUT_REGISTER	153	1		4	0	0	0
External adjustment climate system 5	MODBUS_INPUT_REGISTER	154	1		4	0	0	0
Climate system 8	MODBUS_INPUT_REGISTER	156	1		4	0	0	0
Climate system 7	MODBUS_INPUT_REGISTER	157	1		4	0	0	0
Climate system 6	MODBUS_INPUT_REGISTER	158	1		4	0	0	0
Climate system 5	MODBUS_INPUT_REGISTER	159	1		4	0	0	0
Hot water comfort return (BT82)	MODBUS_INPUT_REGISTER	174	10	°C	2	0	0	0
Hot water comfort heater (BT83)	MODBUS_INPUT_REGISTER	175	10	°C	2	0	0	0
Compressor, total time pool, heat pump 1 (EP14)	MODBUS_INPUT_REGISTER	269	1	h	6	0	2147483647	0
Compressor, total time pool 2, heat pump 1 (EP14)	MODBUS_INPUT_REGISTER	271	1	h	6	0	2147483647	0
Heat pump 1 requested compressor frequency	MODBUS_INPUT_REGISTER	301	1	Hz	4	0	0	0
Frost protection heat exchanger, main unit	MODBUS_INPUT_REGISTER	310	1		4	0	0	0
Status (OPT)	MODBUS_INPUT_REGISTER	311	1		4	0	0	0
Version (OPT)	MODBUS_INPUT_REGISTER	312	1		5	0	0	0
OPT relay, modulation level	MODBUS_INPUT_REGISTER	313	10	%	2	0	0	0
OPT operating time	MODBUS_INPUT_REGISTER	315	1	h	5	0	0	0
Available compressors heating	MODBUS_INPUT_REGISTER	317	1		4	0	0	0
Available compressors hot water	MODBUS_INPUT_REGISTER	318	1		4	0	0	0
Available compressors pool 1	MODBUS_INPUT_REGISTER	319	1		4	0	0	0
Available compressors cooling	MODBUS_INPUT_REGISTER	321	1		4	0	0	0
Supply temperature (BT64)	MODBUS_INPUT_REGISTER	337	10	°C	2	0	0	0
Heat pump functionality 2	MODBUS_INPUT_REGISTER	338	1		6	0	0	0
Status (S135)	MODBUS_INPUT_REGISTER	344	1		4	0	0	0
Status, demand, pump speed (S135)	MODBUS_INPUT_REGISTER	345	1		4	0	0	0
Status, demand, fan speed (S135)	MODBUS_INPUT_REGISTER	346	1		4	0	0	0
Status, solenoid (S135)	MODBUS_INPUT_REGISTER	347	1		4	0	0	0
Status, compressor, heater(S135)	MODBUS_INPUT_REGISTER	348	1		4	0	0	0
Status, compressor, demand (S135)	MODBUS_INPUT_REGISTER	350	1		4	0	0	0
Degree minutes	MODBUS_HOLDING_REGISTER	11	10	DM	3	-30000	30000	0
Blocking (ERS 1)	MODBUS_INPUT_REGISTER	358	1		4	0	0	0
AZ30-EB17	MODBUS_INPUT_REGISTER	359	1		4	0	0	0
Supply line (S135-BT12)	MODBUS_INPUT_REGISTER	360	10	°C	2	0	0	0
Return line (S135-BT13)	MODBUS_INPUT_REGISTER	361	10	°C	2	0	0	0
Evaporator (S135-BT16)	MODBUS_INPUT_REGISTER	362	10	°C	2	0	0	0
Defrosting sensor (S135-BT76)	MODBUS_INPUT_REGISTER	363	10	°C	2	0	0	0
Incoming air (S135-BT77)	MODBUS_INPUT_REGISTER	364	10	°C	2	0	0	0
Alarm number (S135)	MODBUS_INPUT_REGISTER	365	1		5	0	0	0
Defrosting (S135)	MODBUS_INPUT_REGISTER	366	1		4	0	0	0
Status, relay 5 (S135)	MODBUS_INPUT_REGISTER	367	1		4	0	0	0
Status, relay 4 (S135)	MODBUS_INPUT_REGISTER	368	1		4	0	0	0
Status, relay 3 (S135)	MODBUS_INPUT_REGISTER	369	1		4	0	0	0
Status, relay 2 (S135)	MODBUS_INPUT_REGISTER	370	1		4	0	0	0
Status, relay 1 (S135)	MODBUS_INPUT_REGISTER	371	1		4	0	0	0
Status, relay 0 (S135)	MODBUS_INPUT_REGISTER	372	1		4	0	0	0
Pump speed (S135)	MODBUS_INPUT_REGISTER	373	1	%	4	0	0	0
Selected fan speed	MODBUS_INPUT_REGISTER	374	1	%	4	0	0	0
Version (S135)	MODBUS_INPUT_REGISTER	376	1		5	0	0	0
id:803	MODBUS_INPUT_REGISTER	377	1		6	0	2147483647	0
id:804	MODBUS_INPUT_REGISTER	379	1		6	0	0	0
id:805	MODBUS_INPUT_REGISTER	381	1		6	0	2147483647	0
id:806	MODBUS_INPUT_REGISTER	383	1		6	0	0	0
Seconds of blank time left, charge pump 1	MODBUS_INPUT_REGISTER	392	1		4	0	0	0
Seconds of blank time left, charge pump 0	MODBUS_INPUT_REGISTER	393	1		4	0	0	0
Alarm number from outdoor air heat pump (EB101)	MODBUS_INPUT_REGISTER	400	1		4	0	0	0
Fan speed (EB101)	MODBUS_INPUT_REGISTER	401	1	rpm	5	0	0	0
Max fan speed (EB101)	MODBUS_INPUT_REGISTER	402	1	rpm	5	0	0	0
Min fan speed (EB101)	MODBUS_INPUT_REGISTER	403	1	rpm	5	0	0	0
Max compressor speed (EB101)	MODBUS_INPUT_REGISTER	404	10	Hz	5	0	0	0
Min compressor speed (EB101)	MODBUS_INPUT_REGISTER	405	10	Hz	5	0	0	0
Generated power heating (EB101)	MODBUS_INPUT_REGISTER	406	10	kW	5	0	0	0
Time to defrosting (EB101)	MODBUS_INPUT_REGISTER	407	1	min	5	0	0	0
Defrosting index (EB101)	MODBUS_INPUT_REGISTER	408	1		5	0	0	0
Superheat reference EEV (EB101)	MODBUS_INPUT_REGISTER	409	10	°C	2	0	0	0
Superheat EEV (EB101)	MODBUS_INPUT_REGISTER	410	10	°C	2	0	0	0
EEV-ssh-error (EB101)	MODBUS_INPUT_REGISTER	411	10	°C	2	0	0	0
Superheat temp. reference EEV (EB101)	MODBUS_INPUT_REGISTER	412	10	°C	2	0	0	0
Set point value EEV (EB101)	MODBUS_INPUT_REGISTER	413	10	°C	2	0	0	0
EEV PV (EB101)	MODBUS_INPUT_REGISTER	414	10	°C	2	0	0	0
EEV-te-error average open (EB101)	MODBUS_INPUT_REGISTER	415	10	°C	2	0	0	0
Degree of opening EEV (EB101)	MODBUS_INPUT_REGISTER	416	1		5	0	0	0
Superheat reference EVI (EB101)	MODBUS_INPUT_REGISTER	417	10	°C	2	0	0	0
Superheat EVI (EB101)	MODBUS_INPUT_REGISTER	418	10	°C	2	0	0	0
EEV-ssh-error (EVI)(EB101)	MODBUS_INPUT_REGISTER	419	10	°C	2	0	0	0
Superheat temp. reference EVI (EB101)	MODBUS_INPUT_REGISTER	420	10	°C	2	0	0	0
Set point value EVI (EB101)	MODBUS_INPUT_REGISTER	421	10	°C	2	0	0	0
EVI PV (EB101)	MODBUS_INPUT_REGISTER	422	10	°C	2	0	0	0
EEV-te-error average open in (EVI)(EB101)	MODBUS_INPUT_REGISTER	423	10	°C	2	0	0	0
Degree of opening EVI (EB101)	MODBUS_INPUT_REGISTER	424	1		5	0	0	0
id:859	MODBUS_INPUT_REGISTER	426	10	%RH	2	0	0	0
id:861	MODBUS_INPUT_REGISTER	427	1		6	0	0	0
id:862	MODBUS_INPUT_REGISTER	429	1		5	0	0	0
Low press (EB101 BP8 dew)	MODBUS_INPUT_REGISTER	550	10	°C	2	0	0	0
Hi press (EB101 BP9 dew)	MODBUS_INPUT_REGISTER	551	10	°C	2	0	0	0
Injection (EB101-BT81)	MODBUS_INPUT_REGISTER	552	10	°C	2	0	0	0
Pressure sensor, injection (EB101-BP11)	MODBUS_INPUT_REGISTER	553	10		2	0	0	0
EVI pressure (EB101-EP14-BP11 dew)	MODBUS_INPUT_REGISTER	554	10	°C	2	0	0	0
Evaporator (EB101-BT84)	MODBUS_INPUT_REGISTER	555	10	°C	2	0	0	0
Fan status (EB101-EP14)	MODBUS_INPUT_REGISTER	556	1		4	0	0	0
Fan rpm (EB101-EP14)	MODBUS_INPUT_REGISTER	557	1	rpm	5	0	0	0
High condenser out alarm (S135)	MODBUS_INPUT_REGISTER	575	1		5	0	0	0
High condenser in alarm (S135)	MODBUS_INPUT_REGISTER	576	1		5	0	0	0
Operating mode PV panels	MODBUS_INPUT_REGISTER	579	1		4	0	0	0
EME lux mode without EME	MODBUS_INPUT_REGISTER	581	1		4	0	0	0
Timer (EME)	MODBUS_INPUT_REGISTER	582	60	min	5	0	0	0
Fan mode 4	MODBUS_INPUT_REGISTER	590	1	%	4	0	0	0
Fan mode 3	MODBUS_INPUT_REGISTER	591	1	%	4	0	0	0
Fan mode 2	MODBUS_INPUT_REGISTER	592	1	%	4	0	0	0
Is the compressor accessible	MODBUS_INPUT_REGISTER	593	1		4	0	0	0
Prio, hot water (OPT)	MODBUS_INPUT_REGISTER	604	1		4	0	0	0
Permit (undefined)	MODBUS_INPUT_REGISTER	683	1		4	0	0	0
Permit (undefined)	MODBUS_INPUT_REGISTER	684	1		4	0	0	0
Permit (undefined)	MODBUS_INPUT_REGISTER	685	1		4	0	0	0
Permit (OPT 10) additional heat	MODBUS_INPUT_REGISTER	686	1		4	0	0	0
Permit ext. imm. heater step	MODBUS_INPUT_REGISTER	687	1		4	0	0	0
Permit int. imm. heater step	MODBUS_INPUT_REGISTER	688	1		4	0	0	0
Permit shunted additional heat	MODBUS_INPUT_REGISTER	689	1		4	0	0	0
Permit prioritised additional heat	MODBUS_INPUT_REGISTER	690	1		4	0	0	0
Permit (EB108-EP15)	MODBUS_INPUT_REGISTER	691	1		4	0	0	0
Permit (EB107-EP15)	MODBUS_INPUT_REGISTER	692	1		4	0	0	0
Permit (EB106-EP15)	MODBUS_INPUT_REGISTER	693	1		4	0	0	0
Permit (EB105-EP15)	MODBUS_INPUT_REGISTER	694	1		4	0	0	0
Permit (EB104-EP15)	MODBUS_INPUT_REGISTER	695	1		4	0	0	0
Permit (EB103-EP15)	MODBUS_INPUT_REGISTER	696	1		4	0	0	0
Permit (EB102-EP15)	MODBUS_INPUT_REGISTER	697	1		4	0	0	0
Permit (EB101-EP15)	MODBUS_INPUT_REGISTER	698	1		4	0	0	0
Permit (EB100-EP15)	MODBUS_INPUT_REGISTER	699	1		4	0	0	0
Permit (EB108-EP14)	MODBUS_INPUT_REGISTER	700	1		4	0	0	0
Permit (EB107-EP14)	MODBUS_INPUT_REGISTER	701	1		4	0	0	0
Permit (EB106-EP14)	MODBUS_INPUT_REGISTER	702	1		4	0	0	0
Permit (EB105-EP14)	MODBUS_INPUT_REGISTER	703	1		4	0	0	0
Permit (EB104-EP14)	MODBUS_INPUT_REGISTER	704	1		4	0	0	0
Permit (EB103-EP14)	MODBUS_INPUT_REGISTER	705	1		4	0	0	0
Permit (EB102-EP14)	MODBUS_INPUT_REGISTER	706	1		4	0	0	0
Permit (EB101-EP14)	MODBUS_INPUT_REGISTER	707	1		4	0	0	0
Permit (EB100-EP14)	MODBUS_INPUT_REGISTER	708	1		4	0	0	0
Smart energy source, priority 7, start DM	MODBUS_INPUT_REGISTER	709	1		3	0	0	0
Smart energy source, priority 6, start DM	MODBUS_INPUT_REGISTER	711	1		3	0	0	0
Smart energy source, priority 5, start DM	MODBUS_INPUT_REGISTER	713	1		3	0	0	0
Smart energy source, priority 4, start DM	MODBUS_INPUT_REGISTER	715	1		3	0	0	0
Smart energy source, priority 3, start DM	MODBUS_INPUT_REGISTER	717	1		3	0	0	0
Smart energy source, priority 2, start DM	MODBUS_INPUT_REGISTER	719	1		3	0	0	0
Smart energy source, priority 1, start DM	MODBUS_INPUT_REGISTER	721	1		3	0	0	0
Smart energy source, priority 7, stop DM	MODBUS_INPUT_REGISTER	723	1		3	0	0	0
Smart energy source, priority 6, stop DM	MODBUS_INPUT_REGISTER	725	1		3	0	0	0
Smart energy source, priority 5, stop DM	MODBUS_INPUT_REGISTER	727	1		3	0	0	0
Smart energy source, priority 4, stop DM	MODBUS_INPUT_REGISTER	729	1		3	0	0	0
Smart energy source, priority 3, stop DM	MODBUS_INPUT_REGISTER	731	1		3	0	0	0
Smart energy source, priority 2, stop DM	MODBUS_INPUT_REGISTER	733	1		3	0	0	0
Smart energy source, priority 1, stop DM	MODBUS_INPUT_REGISTER	735	1		3	0	0	0
Smart energy source, DM minimum value	MODBUS_INPUT_REGISTER	737	1		3	0	0	0
External guide status	MODBUS_INPUT_REGISTER	745	1		4	0	0	0
Test guide value	MODBUS_INPUT_REGISTER	746	1		5	0	0	0
Temp. lux forces start of hot water demand	MODBUS_INPUT_REGISTER	747	1		4	0	0	0
Smart energy source, prio OPT10 for hot water	MODBUS_INPUT_REGISTER	757	1		4	0	0	0
Smart energy source, Permit OPT to produce hot water	MODBUS_INPUT_REGISTER	758	1		4	0	0	0
Wood boiler activated	MODBUS_INPUT_REGISTER	759	1		4	0	0	0
Time to defrosting (EB108)	MODBUS_INPUT_REGISTER	767	1	min	5	0	0	0
Time to defrosting (EB107)	MODBUS_INPUT_REGISTER	792	1	min	5	0	0	0
Time to defrosting (EB106)	MODBUS_INPUT_REGISTER	817	1	min	5	0	0	0
Time to defrosting (EB105)	MODBUS_INPUT_REGISTER	842	1	min	5	0	0	0
Time to defrosting (EB104)	MODBUS_INPUT_REGISTER	867	1	min	5	0	0	0
Time to defrosting (EB103)	MODBUS_INPUT_REGISTER	892	1	min	5	0	0	0
Time to defrosting (EB102)	MODBUS_INPUT_REGISTER	917	1	min	5	0	0	0
Alarm number (EB100)	MODBUS_INPUT_REGISTER	935	1		4	0	0	0
Fan speed (EB100)	MODBUS_INPUT_REGISTER	936	1	rpm	5	0	0	0
Max fan speed (EB100)	MODBUS_INPUT_REGISTER	937	1	rpm	5	0	0	0
Min fan speed (EB100)	MODBUS_INPUT_REGISTER	938	1	rpm	5	0	0	0
Max compressor speed (EB100)	MODBUS_INPUT_REGISTER	939	10	Hz	5	0	0	0
Min compressor speed (EB100)	MODBUS_INPUT_REGISTER	940	10	Hz	5	0	0	0
Generated power heating (EB100)	MODBUS_INPUT_REGISTER	941	10	kW	5	0	0	0
Time to defrosting (EB100)	MODBUS_INPUT_REGISTER	942	1	min	5	0	0	0
Defrosting index (EB100)	MODBUS_INPUT_REGISTER	943	1		5	0	0	0
Superheat reference (EEV)(EB100)	MODBUS_INPUT_REGISTER	944	10	°C	2	0	0	0
Superheat EEV (EB100)	MODBUS_INPUT_REGISTER	945	10	°C	2	0	0	0
EEV-ssh-error EB100)	MODBUS_INPUT_REGISTER	946	10	°C	2	0	0	0
Superheat temp. reference (EEV)(EB100)	MODBUS_INPUT_REGISTER	947	10	°C	2	0	0	0
Set point value EEV (EB100)	MODBUS_INPUT_REGISTER	948	10	°C	2	0	0	0
EEV PV (EB100)	MODBUS_INPUT_REGISTER	949	10	°C	2	0	0	0
EEV-te-error average open (EB100)	MODBUS_INPUT_REGISTER	950	10	°C	2	0	0	0
Opening degree EEV (EB100)	MODBUS_INPUT_REGISTER	951	1		5	0	0	0
Superheat reference EVI (EB100)	MODBUS_INPUT_REGISTER	952	10	°C	2	0	0	0
