Title	Register type	Register	Division factor	Unit	Size of variable	Min value	Max value	Default value
Current outdoor temperature (BT1)	MODBUS_INPUT_REGISTER	1	10	°C	s16	0	0	0
Supply line (EP23-BT2)	MODBUS_INPUT_REGISTER	2	10	°C	s16	0	0	0
Supply line (EP22-BT2)	MODBUS_INPUT_REGISTER	3	10	°C	s16	0	0	0
Supply line (EP21-BT2)	MODBUS_INPUT_REGISTER	4	10	°C	s16	0	0	0
Supply line (BT2)	MODBUS_INPUT_REGISTER	5	10	°C	s16	0	0	0
Return line (BT3)	MODBUS_INPUT_REGISTER	7	10	°C	s16	0	0	0
Hot water top (BT7)	MODBUS_INPUT_REGISTER	8	10	°C	s16	0	0	0
Hot water charging (BT6)	MODBUS_INPUT_REGISTER	9	10	°C	s16	0	0	0
Brine in (BT10)	MODBUS_INPUT_REGISTER	10	10	°C	s16	0	0	0
Brine out (BT11)	MODBUS_INPUT_REGISTER	11	10	°C	s16	0	0	0
Condenser sensor, supply line (BT12)	MODBUS_INPUT_REGISTER	12	10	°C	s16	0	0	0
Discharge (BT14)	MODBUS_INPUT_REGISTER	13	10	°C	s16	0	0	0
Liquid line (BT15)	MODBUS_INPUT_REGISTER	14	10	°C	s16	0	0	0
Suction gas (BT17)	MODBUS_INPUT_REGISTER	16	10	°C	s16	0	0	0
Collector in (AZ10-BT26)	MODBUS_INPUT_REGISTER	21	10	°C	s16	0	0	0
Collector out (AZ10-BT27)	MODBUS_INPUT_REGISTER	22	10	°C	s16	0	0	0
Roomsensor 1-1	MODBUS_INPUT_REGISTER	26	10	°C	s16	0	0	0
Pool (BT51)	MODBUS_INPUT_REGISTER	27	10	°C	s16	0	0	0
Return line (EQ1-BT65)	MODBUS_INPUT_REGISTER	31	10	°C	s16	0	0	0
Temperature limiter (EB100-FD1)	MODBUS_INPUT_REGISTER	36	1		s16	0	0	0
Average temperature (BT1)	MODBUS_INPUT_REGISTER	37	10	°C	s16	0	0	0
